DateTime,VehicleID,X,Y,Longitude,Latitude,Speed,Acceleration,FuelConsumption,CO2Emission,TravelTime,ActionId,ActionName,ActionParam,ActionDuration,LaneMaxSpeed,Neighbors,AllowedSpeed,VehicleAdded,VehicleAddedAhead,VehicleAddedBehind,ActionVehicleAhead,ActionVehicleBehind
58,veh1,540.2085358785746,738.4242866691568,1.4682115830932327,43.56649003410637,5.971691875800351,2.1964970279046856,138264.6663984268,433498.3688502638,84.0,2,decelerate,9.543285996427667,11,16.66,2,15.632078,3,3,0,1,2
30,veh1,669.1452153027875,545.4845401345722,1.4698516103511439,43.56477476509549,13.302788765151782,-0.9668326659664572,166682.10072466434,522594.88913993735,102.0,3,stop,0.0,15,16.66,1,15.632078,6,1,5,1,0
22,veh1,538.5337601377478,512.2848826868791,1.468242440359604,43.564454281512695,11.936936646910645,6.4146641432992135,179512.26646666252,562818.9463627463,99.0,2,decelerate,11.32687860379176,5,27.78,3,18.766000000000002,12,6,6,1,3
37,veh1,671.2583774402516,546.4237233067785,1.4698775536340132,43.564783568822826,14.522354824407028,-2.1540365659166127,256437.26830494805,804005.0300872341,90.0,1,accelerate,6.424335847785897,13,16.66,1,15.632078,8,4,4,1,1
41,veh1,605.406305413937,558.7032798750561,1.4690596190744056,43.5648831821521,3.8563570553007573,1.1765337749054745,156977.13503894265,492165.401302886,101.0,2,decelerate,7.699737066985234,16,27.78,5,18.766000000000002,11,7,4,1,2
21,veh1,0.0,0.0,0.0,0.0,0.0,0.0,167218.5450824484,524277.02479973424,105.0,0,Aucune,0.0,0,0.0,0,0.0,11,7,4,0,0
24,veh1,587.6704322842903,547.783949116395,1.4688425692208238,43.56478195685948,7.050725099669927,0.2878983593429041,228291.39110391814,715760.7085974854,76.0,1,accelerate,8.658804370272206,8,27.78,4,18.766000000000002,4,3,1,2,1
62,veh1,461.4035221954116,778.4471126960854,1.4672269499115647,43.56683720137385,15.460629053818064,-0.3328851971309632,143564.8198027366,450118.53860685654,74.0,2,decelerate,11.373097671594234,8,16.66,1,15.632078,0,0,0,1,0
69,veh1,590.6901658684591,663.4610461846066,1.4688535704946886,43.56582366439131,11.967459913249513,-1.9640398166451032,230736.3746372164,723421.6852875953,102.0,1,accelerate,9.51239773265091,10,16.66,4,15.632078,11,7,4,1,2
48,veh1,555.444215863668,526.5737526201451,1.4684485022711262,43.564585700159455,3.6095315310141234,-3.5662893480457263,182781.11390584105,573067.6472051044,113.0,2,decelerate,11.683389730844477,7,27.78,1,18.766000000000002,14,11,3,4,1
14,veh1,0.0,0.0,0.0,0.0,0.0,0.0,172857.06082537386,541955.3731395314,105.0,0,Aucune,0.0,0,0.0,0,0.0,12,9,3,0,0
41,veh1,584.574074266657,545.7559067199836,1.468804704132329,43.564763189072046,3.5405933232899693,-3.070160407198994,246173.71365572108,771825.203262979,98.0,1,accelerate,7.47396083071453,11,27.78,4,18.766000000000002,13,9,4,2,1
48,veh1,571.4434536281699,691.9820071604723,1.4686088205719423,43.56607718917884,13.015845655941895,-4.0,150279.03076063236,471166.47297690465,80.0,2,decelerate,10.92239383651575,19,16.66,2,15.632078,3,2,1,0,3
41,veh1,620.5856732690551,621.726888694138,1.4692331460456096,43.56545297272045,13.739105382174255,-4.0,161685.20726316297,506930.6068801066,85.0,3,stop,0.0,6,16.66,3,15.632078,2,2,0,2,0
69,veh1,546.1001027886693,729.3739547772178,1.4682865771444695,43.56640954963176,8.907936431567387,2.7373717929776937,160522.99615394528,503284.70522792405,106.0,3,stop,0.0,13,16.66,2,15.632078,9,7,2,2,2
22,veh1,0.0,0.0,0.0,0.0,0.0,0.0,157275.5896415911,493102.48482612387,104.0,0,Aucune,0.0,0,0.0,0,0.0,14,12,2,0,0
69,veh1,466.52776784629265,781.9406375226539,1.4672895838230346,43.56686949705642,17.226268526105212,1.0404158127494156,129795.12171136432,406945.220832478,85.0,2,decelerate,6.371821529531275,16,16.66,1,15.632078,4,1,3,1,0
51,veh1,668.2694229395884,589.9557151009354,1.4698306353416286,43.56517490417489,12.90447096699356,1.1139278395567125,168122.24809038395,527111.041548927,104.0,2,decelerate,3.7267898013114085,10,44.44,1,18.766000000000002,8,5,3,4,0
66,veh1,542.9064509565444,734.27988378882,1.4682459250148214,43.56645317799627,5.32583640960758,-0.8621774163963272,159872.42405087655,501245.6596387736,103.0,3,stop,0.0,12,16.66,2,15.632078,10,6,4,1,3
27,veh1,533.6797903168792,505.48506914337304,1.4681839081617063,43.564392271381145,5.734495518814643,-0.4128338776159115,234943.20452394083,736614.038397088,92.0,1,accelerate,3.9766588130180622,15,27.78,4,18.766000000000002,10,7,3,3,2
60,veh1,572.8993894576263,689.8073768929085,1.4686273388926814,43.5660578568428,8.946517963027665,-2.1104674706390743,177416.90410972442,556253.4557461207,103.0,3,stop,0.0,17,16.66,2,15.632078,6,6,0,0,4
21,veh1,610.7234293121131,562.8653111919838,1.4691244870904454,43.5649215260138,10.340651383662035,-2.8115414436029305,123361.41582457258,386773.17696907313,73.0,2,decelerate,12.586412191804731,13,27.78,2,18.766000000000002,0,0,0,0,1
17,veh1,0.0,0.0,0.0,0.0,0.0,0.0,154217.01924808815,483512.73226259253,101.0,0,Aucune,0.0,0,0.0,0,0.0,10,4,6,0,0
68,veh1,539.0917801363601,740.139791264709,1.468197367830569,43.56650529005869,6.902567035320856,2.0154769481853636,163846.86986210634,513706.395734631,109.0,3,stop,0.0,18,16.66,4,15.632078,6,4,2,2,1
50,veh1,641.2139419294192,602.4163363429602,1.4694928928042585,43.56528257817509,16.568809697003264,3.6330411381129544,162211.9497470144,508580.4333346213,101.0,2,decelerate,5.004979051651951,5,16.66,1,15.632078,8,5,3,3,1
62,veh1,525.069363271405,770.5754203881725,1.4680168453110598,43.566776913976355,3.963863504890716,-4.0,155747.2181437929,488310.94843861205,99.0,3,stop,0.0,12,16.66,1,15.632078,3,2,1,1,0
30,veh1,548.8266432928785,521.8814251667424,1.468367658771027,43.564542367044275,5.885104428729026,0.0679374566179094,152283.53473599252,477449.57946256944,102.0,2,decelerate,9.568443189223524,18,27.78,1,18.766000000000002,11,7,4,5,0
40,veh1,613.9611874905231,566.957884368672,1.4691636319961696,43.56495889993557,8.63645171847687,3.660255758476268,249949.0605667005,783660.7300224964,98.0,1,accelerate,9.257772319032238,9,27.78,5,18.766000000000002,14,5,9,1,2
