Longitude,Latitude,Speed,Acceleration,ActionVehicleAhead,ActionId,action_accelerate,action_decelerate,action_stop,ActionParam,ActionDuration,StartTime,EndTime,y_fuel,y_travel
1.468999675117728,43.56568098001581,15.476475192464193,1.1966872178384025,2,2,0,1,0,11.679251838703216,12,56,68,6.856514792879024,-25.0
1.4685602288321566,43.56464196006131,15.777229634517806,0.5125067906919867,1,1,1,0,0,3.430343266205308,7,17,24,-27.977807449213522,3.0
1.4693587206478846,43.565334127687386,15.5167354615885,4.529887580627307,2,1,1,0,0,6.692110230700542,9,39,48,-54.32157528219573,4.0
1.4674664966158597,43.567080575838204,12.731886253595288,1.7858333348581148,0,1,1,0,0,9.843190976083834,9,63,72,-75.8065424787754,1.0
1.4699395542576883,43.56508893403486,15.6741464792781,-2.7932267939958315,1,1,1,0,0,4.0021065880652085,15,30,45,-43.58582360522792,14.0
1.4679934230172362,43.56681627265625,8.012574013094415,-1.120133730565831,1,3,0,0,1,0.0,11,55,66,5.126813147004548,-15.0
1.468027787855565,43.56675245786327,7.061738435478146,-0.7310986061209608,0,2,0,1,0,13.863453416619365,9,59,68,5.891255098604103,-10.0
1.4696902655521258,43.56475760561836,10.405510294849607,1.0251530502735875,0,3,0,0,1,0.0,17,41,58,-2.1680723252677128,-31.0
1.4680311613997443,43.56674376052104,7.927993760741725,3.532381901161832,1,1,1,0,0,4.629750503907848,16,61,77,-72.66449488666802,-2.0
1.4694407297384708,43.56530561853016,17.125090539161118,3.8552102514896767,2,3,0,0,1,0.0,16,58,74,-1.6494514280480508,-32.0
1.4698147175938348,43.56514847651085,10.876674216958593,1.0118343948212107,0,3,0,0,1,0.0,15,34,49,-3.5721723607037275,-30.0
1.468106520313538,43.56660953962381,6.1095441343213714,-0.3908192346812864,0,3,0,0,1,0.0,6,65,71,1.3652010880168528,-31.0
1.468068020157928,43.56665446211239,1.4001345975705315,0.2151671889746045,1,2,0,1,0,10.869276323207782,18,50,68,6.323126237054297,-10.0
1.468201641445285,43.56650070357658,10.277340035409662,-1.1730691097920791,0,2,0,1,0,2.353019322232804,16,45,61,2.462239627022762,-6.0
1.4682378466312955,43.5664618478072,6.9107918026719055,0.0489854819374659,1,1,1,0,0,5.231400507073083,13,58,71,-44.45137282854828,-6.0
1.469956395087399,43.56485410489144,13.143626754706949,-4.0,1,2,0,1,0,13.560148121895374,11,47,58,24.83866391765303,-31.0
1.4677190200656205,43.56721696596105,13.003336234055846,-0.0405470455387337,1,3,0,0,1,0.0,5,67,72,1.6547845612135135,-17.0
1.4686692630286542,43.56469602743747,7.729861695728722,-1.2349912465029238,3,1,1,0,0,5.28164468069692,12,34,46,-75.82485907817193,-24.0
1.4680759330647053,43.56427788008832,5.0322071952869445,1.0917247835853212,4,2,0,1,0,8.259067541142759,11,38,49,-18.47476920974659,-41.0
1.4696500166821918,43.564768726862624,16.10909719060548,1.1806768186445955,0,2,0,1,0,11.032114847067724,7,31,38,11.978194569232961,-4.0
1.4693867663033937,43.565320248728575,18.486153661910446,4.440574788405666,0,3,0,0,1,0.0,5,36,41,5.683475484982453,-4.0
1.469072303184971,43.56561005181411,13.188103629695334,-4.0,1,1,1,0,0,5.7815424931609645,5,45,50,-23.357787226295535,-9.0
1.4699789284640132,43.56499309498068,11.255788793588398,-4.0,1,3,0,0,1,0.0,11,51,62,-5.863870419252518,-26.0
1.469323218667696,43.56500191224634,3.9625591342626665,-0.6644511622398328,0,2,0,1,0,11.6015045822822,10,40,50,18.870803446921812,-28.0
1.469323557098809,43.56536467684328,6.604142537646599,-3.707514434406676,2,1,1,0,0,3.519188840837648,16,55,71,-62.72504921474308,-9.0
1.468135710341728,43.56657578425094,4.69597371651072,0.0096538405005155,0,1,1,0,0,3.957919755475418,9,55,64,-30.771930987471247,-1.0
1.4678958254122674,43.56699634686674,10.906646392582882,7.164366201031954,2,3,0,0,1,0.0,12,67,79,1.0943917508609593,-27.0
1.4686999552691358,43.56598204829529,13.959169369219657,-3.0185049624677376,0,2,0,1,0,4.057779269709853,11,46,57,23.323514541574667,-8.0
1.468244157491486,43.56445610067275,16.304573414325453,7.642619347292381,1,1,1,0,0,9.815887569066213,16,18,34,-115.92221928985269,-8.0
1.4686570271719266,43.56602686351431,12.982669110495731,-2.5732155958026333,1,2,0,1,0,11.79217417597874,14,61,75,15.947712371765286,-23.0
1.4682679812419772,43.56448133996408,4.88153566919691,0.6212278772598996,2,2,0,1,0,11.863855725475464,11,29,40,-14.007006856167719,-38.0
1.4670414633807096,43.566740592340494,12.332162614384668,-4.0,1,3,0,0,1,0.0,5,67,72,-20.05058159736538,-12.0
1.4697547303464562,43.56520448561991,9.963418624798306,-0.0574348530887309,3,2,0,1,0,9.67070715178716,15,59,74,18.037512518389967,-34.0
1.4698224624019758,43.56514560867226,11.6741464792781,-4.0,1,1,1,0,0,4.394433899769526,11,31,42,-35.49989654714428,9.0
1.4685290197833678,43.56462648422499,6.906832629692328,-4.0,3,3,0,0,1,0.0,8,21,29,-22.27936588727121,-18.0
1.4697810759619447,43.565196823103214,9.962162743932216,-3.474809070816264,3,2,0,1,0,7.283513965707074,15,48,63,12.400681767491012,-25.0
1.4682116483776106,43.564421659916526,16.189943493145822,6.878995216432884,1,1,1,0,0,6.504126800865698,16,15,31,-57.07105251701578,14.0
1.4689153347221129,43.565763346145566,11.402127705092306,1.5284247861393698,1,3,0,0,1,0.0,8,57,65,-7.941069041411858,-28.0
1.4688064389012667,43.56587088327184,14.01575855117295,-0.6869828984097381,1,3,0,0,1,0.0,7,53,60,-8.284732283743738,-28.0
1.4682447462646306,43.56645444304427,4.16553483682033,0.1836822788627503,2,2,0,1,0,5.481870935714445,7,70,77,-11.119292703473068,-26.0
1.467508918947887,43.56697928209008,12.24258386078692,-1.215035203623961,1,2,0,1,0,6.093129791952981,12,64,76,14.145460162199043,-11.0
1.468925593806448,43.564823072260886,3.7300247608930377,-0.7774884548027536,2,2,0,1,0,11.036753162950331,12,44,56,-3.429521143086895,-33.0
1.4696951855638891,43.56475624615899,17.55065570917769,3.1806944652936906,0,2,0,1,0,9.47787971955077,8,47,55,4.977349110062205,-26.0
1.4697929542830173,43.56519156960934,11.765396221901302,0.4386207991009545,3,1,1,0,0,3.5640133799362115,10,53,63,-53.6749998287546,-13.0
